Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
Classe;01.657.856/0001-05;2024-12-01;1;2025-03-26;SCP - FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-31;INVESTIDORES EM GERAL;BRSCPFCTF003;4200000;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TITULOS E VALORES MOBILIÁRIOS S.A.;44077014000189;RUA SURUBIM;577;10ºANDAR;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
Fundo;02.027.437/0001-44;2024-12-01;1;2025-03-31;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1998-03-11;INVESTIDOR PROFISSIONAL;BRBMIICTF007;150600;N;N;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;02.508.235/0001-14;2024-12-01;1;2025-03-31;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;N;S;Renda;Logística;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS - DTVM;72600026000181;AV. CHEDID JAFET;222;CONJUNTO 32, BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;+55 (11) 3509-6500;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;03.251.720/0001-18;2024-12-01;1;2025-03-31;FII PROJ AGUA BRANCA;1999-06-30;INVESTIDORES EM GERAL;BRFPABCTF011;750000;N;N;;Lajes Corporativas;;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;03.507.519/0001-59;2024-12-01;4;2025-02-12;FUNDO DE INVESTIMENTOIMOBILIÁRIO SHOPPING PÁTIOHIGIENOPOLIS;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS - DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;CONJUNTO 32, BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;+55 (11) 3509-6500;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;03.683.056/0001-86;2024-12-01;1;2025-03-31;FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2000-01-12;INVESTIDORES EM GERAL;BRRCRBCTF000;3690695;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS - DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;CONJ 32 - BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;03.855.441/0001-63;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA;2000-05-02;INVESTIDOR QUALIFICADO;0;144210661;N;N;Desenvolvimento para Venda;Logística;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS - DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;CONJUNTO 32, BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;+55 (11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;04.066.582/0001-60;2024-12-01;1;2025-03-31;FII - FII HOSPITAL DA CRIANCA;2000-10-03;INVESTIDORES EM GERAL;BRHCRICTF006;200000;N;N;Renda;Hospital;Passiva;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;04.141.645/0001-03;2024-12-01;1;2025-03-21;F I I CONTINENTAL SQUARE FARIA LIMA;2000-08-29;INVESTIDORES EM GERAL;BRFLMACTF009;1380670;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;44077014000189;RUA SURUBIM;577;10ºANDAR;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br
Classe;04.644.612/0001-78;2024-12-01;1;2025-01-29;STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO;2021-09-13;INVESTIDOR PROFISSIONAL;BROLMPCTF009;1383704.63009994;S;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;RJI CTVM LTDA;42066258000130;AVENIDA RIO BRANCO;138;4º ANDAR - SALA 402;CENTRO;RIO DE JANERIO;RJ;20040-002;21-3500-4514;;;www.rjicv.com.br;controladoria.fundos@rjicv.com.br
Classe;04.722.883/0001-02;2024-12-01;1;2025-03-28;FII - FII TORRE NORTE;2001-10-10;INVESTIDORES EM GERAL;BRTRNTCTF013;3935562;N;N;;Lajes Corporativas;;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Fundo;05.437.916/0001-27;2024-12-01;1;2025-03-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR;2002-12-10;INVESTIDORES EM GERAL;BREUROCTF011;383936;N;N;Renda;Logística;Passiva;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA;00336036000140;Avenida Brigadeiro Faria Lima;1800;2º andar;Jardim Paulistano;São Paulo;SP;01451-001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br
Classe;05.562.312/0001-02;2024-12-01;1;2025-03-31;FII EDIFICIO ALMIRANTE BARROSO;2003-03-17;INVESTIDORES EM GERAL;BRFAMBCTF018;122538;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;06.175.262/0001-73;2024-12-01;1;2025-03-20;FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST;2004-05-04;INVESTIDORES EM GERAL;BREDFOCTF004;236000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;30/12;S;S;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Avenida das Américas;3.434;Bloco 7, Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22.640-102;(21) 3514-0000;(21) 3514-0099;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;07.000.400/0001-46;2024-12-01;1;2025-03-27;BB FII PROGRESSIVO;2004-09-03;INVESTIDORES EM GERAL;BRBBFICTF006;130000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.122.725/0001-00;2024-12-01;1;2025-03-31;FII TORRE ALMIRANTE;2004-11-19;INVESTIDORES EM GERAL;BRALMICTF003;111177;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.224.019/0001-60;2024-12-01;1;2025-03-28;FII - FII SHOPPING PARQUE D. PEDRO;2005-01-28;INVESTIDORES EM GERAL;BRSHDPCTF007;1189725;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;07.583.627/0001-61;2024-12-01;1;2025-03-18;FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA;2005-06-23;INVESTIDOR QUALIFICADO;0;224952;S;N;Renda;Outros;Passiva;Indeterminado;;31/12;N;N;S;N;N;OURIBANK S.A. BANCO MULTIPLO;78632767000120;Av. Paulista;1728;Sobreloja, 2º ao 5º e 7º andares;Bela Vista;São Paulo;SP;01310-919;4081-4402;4081-4444;4081-4576;ouribank.com;fundos.imobiliarios@ouribank.com
Classe;07.789.135/0001-27;2024-12-01;1;2025-03-25;FII ANCAR IC;2006-01-03;INVESTIDORES EM GERAL;BRANCRCTF001;26735046.0855372;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;N;N;S;N;N;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;27652684000162;PRAIA DE BOTAFOGO;228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;113206-8000;(21) 3923-3000;;WWW.BANCOGENIAL.COM;MIDDLEADM@GENIAL.COM.VC
Classe;08.014.513/0001-63;2024-12-01;1;2025-03-31;FII - FII HOSPITAL NOSSA SENHORA DE LOURDES;2006-04-20;INVESTIDORES EM GERAL;BRNSLUCTF008;1293286;N;N;Renda;Hospital;Passiva;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;08.098.114/0001-28;2024-06-01;1;2024-09-26;HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-06-26;INVESTIDORES EM GERAL;BRPRGDCTF001;8898724;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;S;S;N;S;S;BRL TRUST DTVM S.A;08098114000128;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
Classe;08.417.532/0001-30;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM;2006-08-14;INVESTIDOR QUALIFICADO;0;46971;N;N;Renda;Outros;Passiva;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - CJ 32;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
Classe;08.431.747/0001-06;2024-12-01;1;2025-03-28;HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-12-28;INVESTIDORES EM GERAL;BRHGBSCTF000;12729800;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR, CJ 112, parte;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;08.693.497/0001-82;2024-12-01;1;2025-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO VEREDA - FII;2011-01-31;INVESTIDORES EM GERAL;BRVERECTF002;634212.8775;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;S;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;08693497000182;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;08.696.175/0001-97;2024-06-01;1;2024-09-27;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2009-11-30;INVESTIDORES EM GERAL;BRFIIPCTF001;927162;N;N;Renda;Híbrido;Passiva;Indeterminado;;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;08696175000197;Avenida das Américas;3.434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;08.706.065/0001-69;2024-12-01;1;2025-03-31;FII HOTEL MAXINVEST;2007-02-13;INVESTIDORES EM GERAL;BRHTMXCTF000;2888094;N;N;Renda;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3445;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;08.924.783/0001-01;2024-12-01;1;2025-03-31;FII BTG PACTUAL CORPORATE OFFICE FUND;2007-07-20;INVESTIDORES EM GERAL;BRBRCRCTF000;26638202;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3445;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;09.006.914/0001-34;2024-12-01;2;2025-04-08;RB CAPITAL RENDA II FII;2024-08-30;INVESTIDORES EM GERAL;BRRBRDCTF008;1851786;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO DAYCOVAL S/A;62232889000190;Avenida Paulista;1793;2º andar;Bela Vista;São Paulo;SP;01311200;0300 111 0500;(11) 3563-4389;(11) 3563-4318;www.daycoval.com.br;informes.regulatorios@bancodaycoval.com.br
Classe;09.072.017/0001-29;2024-12-01;1;2025-03-27;PATRIA ESCRITÓRIOS -FII RESPONSABILIDADE LIMITADA;2008-04-17;INVESTIDORES EM GERAL;BRHGRECTF006;11817767;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;PRAIA DE BOTAFOGO;228;SALA 907;BOTAFOGO;RIO DE JANEIRO;RJ;22.250-040;(21) 3923-3000;;;www.bancogenial.com;atendimentocvm.banco@genial.com.vc
Classe;09.150.967/0001-24;2024-12-01;1;2025-03-27;FII PATRIMONIAL IV;2007-10-18;INVESTIDORES EM GERAL;BROPTMCTF002;73304.97453334;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;S;N;OSLO DTVM S.A.;13673855000125;Rua Dr. Eduardo de Souza Aranha;153;4º Andar;Vila Nova Conceição;São Paulo;SP;4543120;(11) 3513-3100;;;https://www.oslodtvm.com;admfundos@oslodtvm.com
Classe;09.276.964/0001-31;2024-12-01;1;2025-03-31;FII PROPERTY INVEST;2008-01-11;INVESTIDOR PROFISSIONAL;0;1206868.35;S;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS AS;34829992000186;Av Faria Lima;2277;17º andar;Vila Olímpia;São Paulo;SP;01452000;35141300;;;www.reag.com.br;compliance@reag.com.br
Classe;09.326.861/0001-39;2024-12-01;1;2025-03-28;SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO;2008-01-17;INVESTIDORES EM GERAL;BRWPLZCTF004;1111549;N;S;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR, CJ 112, parte;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;09.517.273/0001-82;2024-12-01;1;2025-03-31;SEQUÓIA III RENDA IMOBILIÁRIA;2008-06-06;INVESTIDORES EM GERAL;BRSEQRCTF002;1665695.3526;S;N;Renda;Logística;Ativa;Indeterminado;;31/03;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;09517273000182;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;09.552.812/0001-14;2024-12-01;1;2025-03-31;FII BTG PACTUAL CREDITO IMOBILIARIO;2008-05-19;INVESTIDORES EM GERAL;BRFEXCCTF007;99521172;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3445;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;10.347.985/0001-80;2024-12-01;1;2025-03-27;CIDADE JARDIM CONTINENTAL TOWER FII;2010-12-22;INVESTIDOR QUALIFICADO;BRCJCTCTF001;3140000;N;N;Renda;Lajes Corporativas;Passiva;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR, CJ 112, parte;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;10.375.382/0001-91;2024-12-01;1;2025-03-28;HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2009-09-21;INVESTIDORES EM GERAL;BRFLRPCTF006;72500;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR, CJ 112, parte;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;10.427.246/0001-06;2024-12-01;1;2025-03-28;FII - FII PRIME PORTFOLIO;2009-02-03;INVESTIDOR QUALIFICADO;BRPMEPCTF001;10664728;N;N;Títulos e Valores Mobiliários;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;10.456.799/0001-89;2024-12-01;1;2025-04-01;PHORBIS FII - RESPONSABILIDADE LIMITADA;2008-10-24;INVESTIDOR QUALIFICADO;0;61570;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22610500000188;Rua Gilberto Sabino;215;4º andar;Pinheiros;São Paulo;SP;5425020;11  30307177;;;www.vortx.com.br;regulatorio.funds@vortx.com.br
Classe;10.456.810/0001-00;2024-12-01;1;2025-03-28;MULTIGESTÃO RENDA COMERCIAL FII;2008-10-24;INVESTIDORES EM GERAL;BRDRITCF009;463277;N;N;Desenvolvimento para Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO DAYCOVAL S/A;62232889000190;AV. PAULISTA;1793;2° andar;Bela Vista;São Paulo;SP;01311200;0300 111 0500;(11) 3563-4389;;www.daycoval.com.br;informes.regulatorios@bancodaycoval.com.br
