CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCYN;Lucro na Venda;2686.42;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCYO;Lucro na Venda;21575.66;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCYP;Lucro na Venda;2626.55;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCYV;Lucro na Venda;2931.96;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCYW;Lucro na Venda;2906.74;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCYX;Lucro na Venda;2795.10;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCZ1;Lucro na Venda;16068.04;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCZ2;Lucro na Venda;6213.95;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHCZ4;Lucro na Venda;5657.81;Capital
04.722.883/0001-02;2024-12-01;1;CDB CDB124BHD6O;Lucro na Venda;17868.37;Capital
07.583.627/0001-61;2024-12-01;1;N/A;N/A;0;N/A
07.789.135/0001-27;2024-12-01;1;IMÓVEL - NORTH SHOPPING FORTALEZA;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;632054354.82;REDUÇÃO DE CAPITAL CE SHOPPING
07.789.135/0001-27;2024-12-01;1;IMÓVEL - NATAL SHOPPING;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;46070943.3;REDUÇÃO DE CAPITAL SPE MONACO
08.431.747/0001-06;2024-12-01;1;Shopping Jaraguá Araraquara - 25%;Renda;65875925.21;Patrimonio
08.706.065/0001-69;2024-12-01;1;Ibis Ibirapuera;Renda;15128590.14;Capital
08.924.783/0001-01;2024-12-01;1;CDB CDB224BMTTZ;Lucro na Venda;62177.02;Capital
09.006.914/0001-34;2024-12-01;2;FUNDOS DE RENDA FIXA - TPUBI9706271;Ganho de capital - Rentabilização da carteira;4673347.4;Recurso próprios - Caixa e/ou emissão de cotas
09.072.017/0001-29;2024-12-01;1;CRI - 19I0737681;Aplicação em ativos-alvo do fundo;25997013.65;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;CRI - 22K1202808;Aplicação em ativos-alvo do fundo;20082984.3;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;CRI - 19L0987016;Aplicação em ativos-alvo do fundo;10013477.77;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - AIEC11;Aplicação em ativos-alvo do fundo;4633041.65;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - JSRE11;Aplicação em ativos-alvo do fundo;9132395.88;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - KNHY11;Aplicação em ativos-alvo do fundo;5757714.36;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - KORE11;Aplicação em ativos-alvo do fundo;6665256.79;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - RBRP11;Aplicação em ativos-alvo do fundo;6468584.92;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - RCRB11;Aplicação em ativos-alvo do fundo;136921.45;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - SARE11;Aplicação em ativos-alvo do fundo;3742547.08;Caixa do fundo
09.072.017/0001-29;2024-12-01;1;COTAS DE FII - WHGR11;Aplicação em ativos-alvo do fundo;749992.68;Caixa do fundo
09.552.812/0001-14;2024-12-01;1;FII BTGP YOU;Lucro na Venda;128039000.00;Capital
09.552.812/0001-14;2024-12-01;1;FII BTGP RE HEDGE FUND RESP LIMITADA;Lucro na Venda;6936109.11;Capital
09.552.812/0001-14;2024-12-01;1;CRI 19I0737681;Lucro na Venda;20740276.49;Capital
09.552.812/0001-14;2024-12-01;1;CRI 20F0689770;Lucro na Venda;389782.20;Capital
09.552.812/0001-14;2024-12-01;1;CRI 20G0800227;Lucro na Venda;59570044.29;Capital
09.552.812/0001-14;2024-12-01;1;CRI 20I0777292;Lucro na Venda;10845786.67;Capital
09.552.812/0001-14;2024-12-01;1;CRI 21C0663319;Lucro na Venda;20460809.14;Capital
09.552.812/0001-14;2024-12-01;1;CRI 21I0605705;Lucro na Venda;19979335.30;Capital
09.552.812/0001-14;2024-12-01;1;CRI 22K1362572;Lucro na Venda;39262791.48;Capital
09.552.812/0001-14;2024-12-01;1;CRI 22L1212138;Lucro na Venda;23614748.84;Capital
09.552.812/0001-14;2024-12-01;1;CRI 24C1998433;Lucro na Venda;7125845.85;Capital
10.456.810/0001-00;2024-12-01;1;IMOVEIS - ED NU ESCR3;Ganho de capital - Rentabilização da carteira;2233000;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;IMOVEIS - ED NU ESCR4;Ganho de capital - Rentabilização da carteira;2233000;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;IMOVEIS - ED PEDRA GR;Ganho de capital - Rentabilização da carteira;9380000;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;IMOVEIS - ED PEDRA GRL;Ganho de capital - Rentabilização da carteira;16966000;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;IMOVEIS - ED TORRE SUL;Ganho de capital - Rentabilização da carteira;9588000;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;FUNDOS DE RENDA FIXA - SAFRA SOB DR;Ganho de capital - Rentabilização da carteira;145257.1;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;COTAS DE FUNDOS IMOBILIÁRIOS - DPRO11;Ganho de capital - Rentabilização da carteira;500000;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;COTAS DE FUNDOS IMOBILIÁRIOS - KNCR11;Ganho de capital - Rentabilização da carteira;21510;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;COTAS DE FUNDOS IMOBILIÁRIOS - KNSC11;Ganho de capital - Rentabilização da carteira;12135.06;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;COTAS DE FUNDOS IMOBILIÁRIOS - RCRB11;Ganho de capital - Rentabilização da carteira;1909820.22;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;LETRA FINANCEIRA TESOURO - LFT00002B109;Ganho de capital - Rentabilização da carteira;14081806.94;Recurso próprios - Caixa e/ou emissão de cotas
10.456.810/0001-00;2024-12-01;1;LETRA FINANCEIRA TESOURO - LFT00002B10C;Ganho de capital - Rentabilização da carteira;3246732.16;Recurso próprios - Caixa e/ou emissão de cotas
11.044.355/0001-07;2024-12-01;1;CDB;Ativo de zeragem;1400000.00;Emissão de Cotas
11.044.355/0001-07;2024-12-01;1;Operações Compromissadas;Ativo de Liquidez;285395020.43;Emissão de Cotas
11.160.521/0001-22;2024-12-01;1;COTAS DE FII - DE UNIDADES AUTONOMAS III;Aplicação em ativos-alvo do Fundo;43618635.91;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;COTAS DE FII - WHGR11;Aplicação em ativos-alvo do Fundo;749992.68;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22G0282305;Aplicação em ativos-alvo do Fundo;704718.91;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22G0282333;Aplicação em ativos-alvo do Fundo;12859670.85;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22L1668408;Aplicação em ativos-alvo do Fundo;43996328.16;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 24B1693195;Aplicação em ativos-alvo do Fundo;55002349.77;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 20L0687133;Aplicação em ativos-alvo do Fundo;9996919.65;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 24H2371051;Aplicação em ativos-alvo do Fundo;31336004.25;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22K1362572;Aplicação em ativos-alvo do Fundo;33040771.86;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22E1284935;Aplicação em ativos-alvo do Fundo;49649230.74;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 23F2427179;Aplicação em ativos-alvo do Fundo;14149770.46;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 24J4613741;Aplicação em ativos-alvo do Fundo;25000000;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22A0695877;Aplicação em ativos-alvo do Fundo;14662574.33;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22G0282372;Aplicação em ativos-alvo do Fundo;21436391.68;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 24J3438891;Aplicação em ativos-alvo do Fundo;54400000;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 24J3439259;Aplicação em ativos-alvo do Fundo;13600000;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 19I0737681;Aplicação em ativos-alvo do Fundo;5357641.33;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 24B1693195 ;Aplicação em ativos-alvo do Fundo;10283285.39;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 19I0737680;Aplicação em ativos-alvo do Fundo;7450449.98;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 22A0699149;Aplicação em ativos-alvo do Fundo;84997414.59;Caixa do fundo
11.160.521/0001-22;2024-12-01;1;CRI - 21D0695098;Aplicação em ativos-alvo do Fundo;462496.13;Caixa do fundo
11.179.118/0001-45;2024-12-01;1;Anhanguera Educacional - Valinhos 2;Renda;7000000.00;Capital
11.664.201/0001-00;2024-12-01;2;Leverage Securitizadora 4ª Emissão 1ª Série;Renda;42500000;Capital
11.664.201/0001-00;2024-12-01;2;Leverage Securitizadora 4ª Emissão 1ª Série;Renda;11323303.4798633;Capital
11.664.201/0001-00;2024-12-01;2;Virgo Securitizadora 4ª Emissão 204ª Série;Renda;854.80944716;Capital
11.664.201/0001-00;2024-12-01;2;Provincia Securitizadora 1ª Emissão 1ª Série;Renda;34961000;Capital
11.664.201/0001-00;2024-12-01;2;Canal Securitizadora 2ª Emissão 3ª Série;Renda;15000000;Capital
11.664.201/0001-00;2024-12-01;2;Bari  Securitizadora 1ª Emissão 84ª Série;Renda;1122590.406072;Capital
11.664.201/0001-00;2024-12-01;2;Virgo Securitizadora 4ª Emissão 54ª Série;Renda;3240851.0295;Capital
11.664.201/0001-00;2024-12-01;2;Virgo Securitizadora 4ª Emissão 93ª Série;Renda;1350240.24905;Capital
11.664.201/0001-00;2024-12-01;2;Virgo Securitizadora 221ª Emissão 1ª Série;Renda;10031212.4499;Capital
11.664.201/0001-00;2024-12-01;2;Opea Securitizadora 352ª Emissão 1ª Série;Renda;39470000;Capital
11.664.201/0001-00;2024-12-01;2;Opea Securitizadora 357ª Emissão 1ª Série;Renda;23356000;Capital
11.664.201/0001-00;2024-12-01;2;Provincia Securitizadora 92ª Emissão 1ª Série;Renda;17500000;Capital
11.664.201/0001-00;2024-12-01;2;RBR Rendimento High Grade;Renda;14489513.31;Capital
11.664.201/0001-00;2024-12-01;2;VBI REITS FOF - FDO. INV. IMOB;Renda;14979454.8854263;Capital
11.728.688/0001-47;2024-12-01;1;SYSLOG;Aplicação em ativos-alvo do fundo;283341.04;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;HGLG GOIANIA;Aplicação em ativos-alvo do fundo;256863639.34;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;LCI - 24F02316637;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;100000000;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 20L0687133;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;19038727.44;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 20I0047200;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;17899406.99;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 22A0699149;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;19658805.71;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 22E1284935;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;11971313.94;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 22G0282372;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;11269211.48;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 24B1693195;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;29999461.36;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 24H2371051;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;4000000;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;CRI - 23H2516002;Melhor alocação de caixa visando maximizar a rentabilidade ao Cotista;39863266.12;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - BRCO11;Aplicação em ativos-alvo do fundo;8351842.4;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - BTLG11;Aplicação em ativos-alvo do fundo;16730373.85;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - FIIB11;Aplicação em ativos-alvo do fundo;2783039.86;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - INLG11;Aplicação em ativos-alvo do fundo;2571879.99;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - KNHY11;Aplicação em ativos-alvo do fundo;25971261.12;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - LGCP11;Aplicação em ativos-alvo do fundo;32753400.47;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - MXRF11;Aplicação em ativos-alvo do fundo;121.37;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - PATL11;Aplicação em ativos-alvo do fundo;391660.59;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - PNDL11;Aplicação em ativos-alvo do fundo;4381823.36;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - RBRL11;Aplicação em ativos-alvo do fundo;4071315.18;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - TRBL11;Aplicação em ativos-alvo do fundo;132892.96;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - WHGR11;Aplicação em ativos-alvo do fundo;749992.68;Caixa do fundo
11.728.688/0001-47;2024-12-01;1;COTAS DE FII - XPLG11;Aplicação em ativos-alvo do fundo;13577892.38;Caixa do fundo
11.769.604/0001-13;2024-12-01;1;aquisição da fração de 41,60% do imóvel Shopping Barueri;Expensão da participação do fundo no imóvel shopping Barueri;160000000;Aporte cotistas
11.839.593/0001-09;2024-06-01;1;FII SDI RIO BRAVO RL;Lucro na Venda;71066724.80;Capital
11.839.593/0001-09;2024-06-01;1;BTLG Cajamar I;Renda;279176688.25;Capital
11.839.593/0001-09;2024-06-01;1;BTLG Cajamar III;Renda;242323311.75;Capital
11.839.593/0001-09;2024-06-01;1;BTLG Campinas - Dom Pedro;Renda;238500000.00;Capital
12.005.956/0001-65;2024-06-01;1;IRA- Ed. Athenas;Receita de Aluguel mensal auferida pelo imóvel;1773788;Capital
12.005.956/0001-65;2024-06-01;1;CRI 21E0669785;Alocação do Caixa do Fundo;71442839.9199222;Capital
12.005.956/0001-65;2024-06-01;1;RT 105 EMPREENDIMENTOS E PARTI;SPE Investida do Fundo;10000000;Capital
12.005.956/0001-65;2024-06-01;1;ITAQUAQ INVEST IMOB E PAR SA;SPE Investida do Fundo;25000;Capital
12.005.956/0001-65;2024-06-01;1;LCI POS LIQ ANTECIPA - CDI D 95;Alocação do Caixa do Fundo;107916087.77;Capital
12.516.185/0001-70;2024-12-01;1;FII CENESP - CNES11;Beneficios futuros;484179.02;Recursos próprios / emissão de cotas
12.516.185/0001-70;2024-12-01;1;VGHF11 - VALORA HEDGE FUND;Beneficios futuros;593970.78;Recursos próprios / emissão de cotas
12.681.340/0001-04;2024-12-01;1;AG MOEMA;Instituição Financeira;5000000;Permuta
12.681.340/0001-04;2024-12-01;1;PÇ OMAGUÁS;Instituição Financeira;8000000;Permuta
12.927.767/0001-40;2024-12-01;1;LTN-NTN;RENTABILIZAR VALORES DISPONÍVEIS EM CAIXA;198960.4;CAIXA DO FUNDO
12.989.974/0001-29;2024-12-01;1;LTN-NTN;RENTABILIZAR OS VALORES DISPONÍVEIS EM CAIXA;97674305.31;CAIXA DO FUNDO
13.320.290/0001-00;2024-12-01;1;142.882_TERRENO JUNDIAÍ-A10;Beneficios futuros;22901418.16;Capital
13.320.290/0001-00;2024-12-01;1;1709_FAZ. SACO DA BARAUNA GDE;Beneficios futuros;612000;Capital
13.320.290/0001-00;2024-12-01;1;1738_FAZ. MADRILENA;Beneficios futuros;2955136.37;Capital
13.320.290/0001-00;2024-12-01;1;3184_FAZ. CANDEIAS;Beneficios futuros;3115849.52;Capital
13.320.290/0001-00;2024-12-01;1;3194_FAZ. JANGADA;Beneficios futuros;1784914.61;Capital
13.584.584/0001-31;2024-12-01;2;Cemitério Morumby;Construção de 60 jazigos;240000;SPE Cortel
13.598.226/0001-88;2024-12-01;1;AVENIDA WASHINGTON LUIS 4928;venda;283595;integralização via cotista
13.598.226/0001-88;2024-12-01;1;PRAÇA ANTONIO PRADO, 9;venda;28428316.05;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA ARIZONA 715;venda;423283.16;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA BARRA FUNDA 930;venda;67088000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA BENTO QUIRINO 727;venda;1718783.35;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA HENRIQUE BRAMMER NETTO 14;venda;2840000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA JORNALISTA ROBERTO MARINHO S/N;venda;450000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA JORNALISTA ROBERTO MARINHO S/N;venda;426000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA MANDU 382;venda;1634196.13;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA NIAGARA 59;venda;1451000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA NOVA YORK 833;venda;7867000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA OSCAR GOMES CARDIM S/N;venda;2979408.2;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA PEDRO AMERICO 32 13º ANDAR;venda;3742104.74;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA TENENTE PENA, 212;venda;1846300.64;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA GENERAL GLICÉRIO, 191;venda;1403019.22;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA OTAVIO MANGABEIRA 2-34;venda;167000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RODOVIA SP 61 - ARIOVALDO DE ALMEIDA VIANA 0+600 (Nº 587);venda;1357781.55;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RODOVIA WALDOMIRO CORREA CAMARGO KM 58;venda;7974011.69;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA CAMPOS SALLES 24-72;venda;1185880.15;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RODOVIA PRESIDENTE DUTRA, KM 97;venda;12721000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA PRESIDENTE KENNEDY 1760;venda;42291944.66;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA LUCAS NOGUEIRA GARCEZ 320;venda;729349.58;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA LUCAS NOGUEIRA GARCEZ 310;venda;869657.11;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA CALIFORNIA 1381 FUNDOS;venda;5688;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA NIAGARA 51;venda;1069000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA JORNALISTA ROBERTO MARINHO S/N;venda;1580000;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AV. SANTOS DUMONT S/N;venda;10557425.3;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA ARAÇAIBA 149;venda;2431056.05;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA ARAÇAIBA 139;venda;1916588.67;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA ARAÇAIBA 140;venda;1695052.73;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA RIBEIRO DO VALE, 222;venda;112212.15;integralização via cotista
13.598.226/0001-88;2024-12-01;1;AVENIDA VEREADOR JOÃO DE LUCA, 749;venda;743800;integralização via cotista
13.598.226/0001-88;2024-12-01;1;RUA DO HIPÓDROMO, 600;venda;11721036.12;integralização via cotista
13.974.819/0001-00;2024-12-01;1;N/A;N/A;0;N/A
14.088.246/0001-71;2024-12-01;1;COMPROMISSADA;-;259151.85;APLICAÇÃO DO COTISTA
14.413.342/0001-48;2024-12-01;1;LCI_24J01955739;Benefícios futuros;20000000;Recursos próprios / emissão de cotas
15.006.267/0001-63;2024-12-01;1;CAPITÂNIA OFFICE FII;Lucro na Venda;1016439.44;Capital
15.006.267/0001-63;2024-12-01;1;CAPITANIA LOG FII FII;Lucro na Venda;20.59;Capital
15.006.267/0001-63;2024-12-01;1;REC M FII;Lucro na Venda;6000000.00;Capital
15.463.207/0001-70;2024-12-01;1;Estaleiro - Rua General Gurjão, 790 - Caju - Rio de Janeiro;Renda;121484901;Capital
16.671.412/0001-93;2024-12-01;1;Galpão Guarulhos 2;Renda;82039792.21;Venda de ativos
16.671.412/0001-93;2024-12-01;1;Ambev Feira de Santana;Renda;51066704.5;Venda de ativos
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 119ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;205904000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 240ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;152453548;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 205ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;108955000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 3 da 258ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;108743646.6;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 279ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;100689125;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZACAO - Série nº 1 da 173ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;100000000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 2 da 263ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;88096000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 297ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;87800000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 146ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;86670000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 287ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;81366995.7778;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - VERT COMPANHIA  SECURITIZADORA - Série nº 1 da 126ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;50000000;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - TRUE  SECURITIZADORA S/A - Série nº 1 da 224ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;32216349.8415;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - BARI SECURITIZADORA S.A. - Série nº 1 da 29ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;19731081.201;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - VIRGO COMPANHIA DE SECURITIZACAO - Série nº 419 da 4ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;2646063.5883;Emissão de Cotas
16.706.958/0001-32;2024-06-01;1;CRI - OPEA SECURITIZADORA S/A - Série nº 1 da 29ª Emissão;Aquisição de ativos imobiliários conforme previsto na Política de Investimento do Fundo;1384288.8885;Emissão de Cotas
17.098.794/0001-70;2024-12-01;1;XPML11;Ganho para renda;2259000;Capital
17.098.794/0001-70;2024-12-01;1;RZTR11;Ganho para renda;3049800.62;Capital
