CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Diretor_Representante;Funcao;Nome_Empresa;Periodo;Cargo_Funcao;Atividade_Principal
01.633.741/0001-72;2024-12-01;1;Fernando Ferreira da Silva Telles;Diretor Responsável pelo FII;Coinvalores C.C.V.M. Ltda.;24/06/1996;Diretor;Sociedade Corretora
01.636.325/0001-28;2024-12-01;1;ALLAN HADID;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
01.636.325/0001-28;2024-12-01;1;ALLAN HADID;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
01.657.856/0001-05;2024-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;BR-CAPITAL DTVM S.A.;2016 até a presente data;Diretora;Distribuidora de Titulos e Valores Mobiliários
01.657.856/0001-05;2024-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até a presente data;Diretora;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliários
02.027.437/0001-44;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;ITAÚ UNIBANCO S.A;07/2013 a 10/2020;Fund Operations Manager;Serviços Financeiros
02.027.437/0001-44;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;VÓRTX DTVM;01/2022 a atual;Diretor de administração fiduciária, distribuição e suitability;Distribuidora de Títulos e Valores Mobiliários
02.027.437/0001-44;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A;11/2020 a 01/2022;Relationship Manager;Distribuidora de Títulos e Valores Mobiliários
02.508.235/0001-14;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
02.508.235/0001-14;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;Desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
03.251.720/0001-18;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
03.507.519/0001-59;2024-12-01;4;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
03.507.519/0001-59;2024-12-01;4;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
03.683.056/0001-86;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
03.683.056/0001-86;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
03.855.441/0001-63;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2019;CEO Chief Executive Officer;Investimentos Imobiliários
03.855.441/0001-63;2024-12-01;1;Paulo Andre Porto Bilyk;Diretor Responsável pelo FII;Rio Bravo Investimentos Ltda.;desde 2015;CIO Chief Investment Officer;Investimentos Imobiliários
04.066.582/0001-60;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
04.141.645/0001-03;2024-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;BR-CAPITAL D.T.V.M. S.A.;2016 até apresente data;Diretora;Distribuidora de Títulos e Valores Mobiliários
04.141.645/0001-03;2024-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até apresente data;Diretora;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária.
04.722.883/0001-02;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
05.437.916/0001-27;2024-12-01;1;Fernando Ferreira da Silva Telles;Diretor Responsável pelo FII;Coinvalores C.C.V.M. Ltda.;24/06/1996;Diretor;Sociedade Corretora
05.562.312/0001-02;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
06.175.262/0001-73;2024-12-01;1;José Alexandre Costa de Freitas;Diretor Responsável pelo FII;Oliveira Trust;Março de 1992 - atualmente;Diretor Presidente;Distribuidor de Títulos e Valores Mobiliários
07.000.400/0001-46;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
07.122.725/0001-00;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
07.224.019/0001-60;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
07.583.627/0001-61;2024-12-01;1;Mary Harumi Takeda;Diretor Responsável pelo FII;OURIBANK S.A. BANCO MULTIPLO;2015-atual;Diretora;Responsável pela área de Administração de FII´s
07.789.135/0001-27;2024-12-01;1;Rodrigo de Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
08.014.513/0001-63;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
08.098.114/0001-28;2024-06-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Apex Holding Ltda;Desde 08/2024;Diretor Executivo Adm Fiduciária e Produtos;Administrador fiduciário
08.098.114/0001-28;2024-06-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Kanastra Gestão de Recursos Ltda;07/2022 até 08/2024;Diretor de Operações;Administrador fiduciário
08.098.114/0001-28;2024-06-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Santander Securities Services DTVM;04/2019 até 05/2022;Diretor de Administração Fiduciária;Administrador fiduciário
08.417.532/0001-30;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;Chief Executive Officer;Investimentos Imobiliários
08.417.532/0001-30;2024-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2015;Chief Investment Officer;Investimentos Imobiliários
08.431.747/0001-06;2024-12-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments;Fevereiro/2017 até a presente data;Sócia e Diretora - Real Estate;Instituição Financeira
08.693.497/0001-82;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;ITAÚ UNIBANCO S.A;07/2013 a 10/2020;Fund Operations Manager;Serviços Financeiros
08.693.497/0001-82;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;VÓRTX DTVM;01/2022 a atual;Diretor de administração fiduciária, distribuição e suitability;Distribuidora de Títulos e Valores Mobiliários
08.693.497/0001-82;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A;11/2020 a 01/2022;Relationship Manager;Distribuidora de Títulos e Valores Mobiliários
08.696.175/0001-97;2024-06-01;1;José Alexandre Costa de Freitas;Diretor Responsável pelo FII;Oliveira Trust;Março/1992 - Data Atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
08.706.065/0001-69;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
08.924.783/0001-01;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
09.072.017/0001-29;2024-12-01;1;Rodrigo De Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
09.326.861/0001-39;2024-12-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments;Fevereiro/2017 até a presente data;Sócia e Diretora - Real Estate;Instituição Financeira
09.517.273/0001-82;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;VÓRTX DTVM;01/2022 a atual;Diretor de administração fiduciária, distribuição e suitability;Distribuidora de Títulos e Valores Mobiliários
09.517.273/0001-82;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A;11/2020 a 01/2022;Relationship Manager;Distribuidora de Títulos e Valores Mobiliários
09.517.273/0001-82;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;ITAÚ UNIBANCO S.A;07/2013 a 10/2020;Fund Operations Manager;Serviços Financeiros
09.552.812/0001-14;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
10.347.985/0001-80;2024-12-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments;Fevereiro/2017 até a presente data;Sócia e Diretora - Real Estate;Instituição Financeira
10.375.382/0001-91;2024-12-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments;Fevereiro/2017 até a presente data;Sócia e Diretora - Real Estate;Instituição Financeira
10.427.246/0001-06;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
10.456.799/0001-89;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;ITAÚ UNIBANCO S.A;07/2013 a 10/2020;Fund Operations Manager;Serviços Financeiros
10.456.799/0001-89;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A;11/2020 a 01/2022;Relationship Manager;Distribuidora de Títulos e Valores Mobiliários
10.456.799/0001-89;2024-12-01;1;Eric Hayashida;Diretor Responsável pelo FII;VÓRTX DTVM;01/2022 a atual;Diretor de administração fiduciária, distribuição e suitability;Distribuidora de Títulos e Valores Mobiliários
10.522.648/0001-81;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Santander Securities Services DTVM;04/2019 até 05/2022;Diretor de Administração Fiduciária;Administrador fiduciário
10.522.648/0001-81;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Apex Holding Ltda;Desde 08/2024;Diretor Executivo Adm Fiduciária e Produtos;Administrador fiduciário
10.522.648/0001-81;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Kanastra Gestão de Recursos Ltda;07/2022 até 08/2024;Diretor de Operações;Administrador fiduciário
10.869.155/0001-12;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
10.991.914/0001-15;2024-12-01;1;Ricardo Troes;Diretor Responsável pelo FII;CAIXA ECONÔMICA FEDERAL;MAI/23 até o momento;Diretor Executivo responsável pela Diretoria de Administração Fiduciária e Serviços Qualificados da Vice-Presidência Fundos de Investimento;Instituição Financeira
10.991.914/0001-15;2024-12-01;1;Ricardo Troes;Diretor Responsável pelo FII;CAIXA ECONÔMICA FEDERAL;OUT 2019 a SET 2021;Gerente Nacional de Administração FIduciárias;Instituição Financeira
10.991.914/0001-15;2024-12-01;1;Ricardo Troes;Diretor Responsável pelo FII;CAIXA ECONÔMICA FEDERAL;SET 2021 a MAI 2023;Superintendente Nacional de Riscos, Compliance e Governanças;Instituição Financeira
11.044.355/0001-07;2024-12-01;1;Maria Clara Guimarães Gusmão;Diretor Responsável pelo FII;MRV Engenharia e Participações S.A.;De agosto de 2010 até julho de 2015;Analista de Relações com Investidores;Relação com os Investidores
11.044.355/0001-07;2024-12-01;1;Maria Clara Guimarães Gusmão;Diretor Responsável pelo FII;Inter DTVM Ltda.;De abril de 2016 até a data presente;Diretora de Administração Fiduciária;Diretora de Administração Fiduciária
11.160.521/0001-22;2024-12-01;1;Rodrigo De Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
11.179.118/0001-45;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
11.233.841/0001-65;2024-12-01;1;JOSE ALEXANDRE COSTA DE FREITAS;Diretor Responsável pelo FII;Oliveira Trust;Março de 1992 - Data atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
11.260.134/0001-68;2024-12-01;1;Rodrigo De Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
11.268.335/0001-01;2024-12-01;1;LUIS CLAUDIO DE FREITAS COELHO PEREIRA;Diretor Responsável pelo FII;Banco Bradesco;Atual;Diretor responsável pela administração dos Fundos;Instituição Financeira
11.274.415/0001-70;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
11.281.322/0001-72;2024-12-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments;Fevereiro/2017 até a presente data;Sócia e Diretora - Real Estate;Instituição Financeira
11.326.746/0001-06;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Santander Securities Services DTVM;04/2019 até 05/2022;Diretor de Administração Fiduciária;Administrador fiduciário
11.326.746/0001-06;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Apex Holding Ltda;Desde 08/2024;Diretor Executivo Adm Fiduciária e Produtos;Administrador fiduciário
11.326.746/0001-06;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Kanastra Gestão de Recursos Ltda;07/2022 até 08/2024;Diretor de Operações;Administrador fiduciário
11.425.077/0001-20;2024-12-01;1;JOSÉ DIMAS ALEIXO;Diretor Responsável pelo FII;MERCANTIL DO BRASIL CORRETORA S.A.TVM;DE 2016 ATÉ 2023;GERENTE DE MERCADO DE CAPITAIS;ADM. E GESTÃO DE FUNDOS E CARTEIRAS
11.425.077/0001-20;2024-12-01;1;JOSÉ DIMAS ALEIXO;Diretor Responsável pelo FII;MERCANTIL DO BRASIL DISTRIBUIDORA S.A.TVM;DESDE AGOSTO/2024;DIRETOR EXECUTIVO;GESTÃO DE RECURSOS
11.425.077/0001-20;2024-12-01;1;JOSÉ DIMAS ALEIXO;Diretor Responsável pelo FII;MERCANTIL DO BRASIL DISTRIBUIDORA S.A.TVM;DE JANEIRO A JULHO/2024;GERENTE DE MERCADO DE CAPITAIS;ADM. E GESTÃO DE FUNDOS E CARTEIRAS
11.602.654/0001-01;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
11.664.201/0001-00;2024-12-01;2;EDUARDO CHALUB MARINO;Diretor Responsável pelo FII;BANCO FATOR S.A.;11/2016 - 09/2022;Gerente de Processo de Operações;Administração Fiduciária
11.664.201/0001-00;2024-12-01;2;EDUARDO CHALUB MARINO;Diretor Responsável pelo FII;BANCO FATOR S.A.;09/2022 - Atual;Diretor de Recursos de Terceiros;Administração Fiduciária
11.728.688/0001-47;2024-12-01;1;Rodrigo De Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
11.769.604/0001-13;2024-12-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Banco Bandeirantes de Investimentos S/A;1986/1999;Analista de Investimento;Realizava acompanhamento de empresas de capital aberto, bem como o mercado financeiro de um modo geral, objetivando a elaboração de relatórios diários para definição de estratégias na administração de recursos de terceiros.
11.769.604/0001-13;2024-12-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Banco Bradesco S/A;2000/2001;Gerente de Underwriting;Realização de prospecção de operações, nas quais as empresas utilizam o mercado de capitais como fonte de recursos para suportar investimentos e/ou alongamento de outros financiamentos / empréstimos.  O trabalho consistia na prospecção propriamente dita, ou seja, visitas / reuniões com os potenciais emissores, bem como o acompanhamento do processo de registro da operação junto à CVM - Comissão de Valores Mobiliário e do procedimento de venda dos títulos ao mercado (basicamente investidores institucionais).
11.769.604/0001-13;2024-12-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Trustee DTVM Ltda;2001/ Atual;Diretor / Conselheiro;Responsável pela administração fiduciária de Fundos de Investimento
11.769.604/0001-13;2024-12-01;1;Artur Martins de Figueiredo;Diretor Responsável pelo FII;Planner Corretora de Valores S/A;1999/2000;Gerente;Coordenação da Área de Agente Fiduciário, realizando entre outras atividades, o acompanhamento diário dos preços unitários das debêntures, controle dos "covenants" financeiros constantes da escritura de emissão, bem como avaliação das providências a serem adotadas nas emissões que encontram-se inadimplentes.
11.839.593/0001-09;2024-06-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
11.945.604/0001-27;2024-06-01;1;José Alexandre Costa de Freeitas;Diretor Responsável pelo FII;Oliveira Trust;Março/1992 - Data Atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
12.005.956/0001-65;2024-06-01;1;Roberta Anchieta da Silva;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Fevereiro/2021 - Atual;Diretor;Responsável perante a CVM pela atividade de administração de carteira de valores mobiliários, administração fiduciária.
12.005.956/0001-65;2024-06-01;1;Roberta Anchieta da Silva;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Outubro/2005 - Abril/2017;Gerente de Estruturação de Produtos Asset;Responsável pelo desenvolvimento e gestão da prateleira de fundos de investimento, coletivos e exclusivos, bem como carteiras administradas e ETFs.
12.005.956/0001-65;2024-06-01;1;Roberta Anchieta da Silva;Diretor Responsável pelo FII;Itaú Unibanco S.A.;Maio/2017 - Atual;Superintendente de Administração Fiduciária;Responsável pela administração fiduciária de mais de 3mil fundos, zelando pelos interesses dos cotistas.
12.323.955/0001-69;2024-12-01;1;Rodrigo de Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
12.358.507/0001-09;2024-12-01;1;Rodrigo de Godoy;Diretor Responsável pelo FII;BANCO GENIAL S.A.;2016/Atual;Diretor;Instituição Financeira
12.401.858/0001-47;2024-12-01;1;Gustavo Cotta Piersanti;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2007 até o momento.;Ingressou como analista em Fund Services no Banco UBS Pactual e se tornou sócio do Banco BTG Pactual em 2016, passando a ser head da área em 2023.;Atualmente, ocupa o cargo de MD Partner(Manager Director Partner), Head de Fund Services.
12.516.185/0001-70;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Santander Securities Services DTVM;04/2019 até 05/2022;Diretor de Administração Fiduciária;Administrador fiduciário
12.516.185/0001-70;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Kanastra Gestão de Recursos Ltda;07/2022 até 08/2024;Diretor de Operações;Administrador fiduciário
12.516.185/0001-70;2024-12-01;1;Marcelo Vieira Francisco;Diretor Responsável pelo FII;Apex Holding Ltda;Desde 08/2024;Diretor Executivo Adm Fiduciária e Produtos;Administrador fiduciário
12.681.340/0001-04;2024-12-01;1;Gustavo Sami Barroso Istamati;Diretor Responsável pelo FII;Banco BV;mai/10 - fev/23;Gerente Executivo;Derivativos Banco
12.681.340/0001-04;2024-12-01;1;Gustavo Sami Barroso Istamati;Diretor Responsável pelo FII;Tivio Capital;fev/23 - atual;Diretor;Gestão de recursos
12.804.013/0001-00;2024-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 ATÉ A PRESENTE DATA;DIRETORA;Consultoria Imobiliária, Estrturação e Desenvolvimento de Empreendimentos Imobiliários
12.804.013/0001-00;2024-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;BR-CAPITAL DTVM S.A.;2016 ATÉ A PRESENTE DATA;DIRETORA;Distribuidora de Titulos e Valores Mobiliários
12.809.972/0001-00;2024-12-01;1;Maria Cecilia Carrazedo de Andrade;Diretor Responsável pelo FII;Hedge Investments;Fevereiro/2017 até a presente data;Sócia e Diretora - Real Estate;Instituição Financeira
