CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;Caixa_Postal;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.743.065/0001-27;2025-01-01;1;148120;LITEL PARTICIPACOES S.A.;Endereço para Correspondência;Av. Ayrton Senna, 3000;sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;;21;35960400;;;;governance@eximiacapital.com
00.776.574/0001-56;2025-01-01;1;149003;AMERICANAS S.A. - em Recuperação Judicial;Endereço da Sede;Rua Sacadura Cabral, 102;Parte;Saúde;Rio de Janeiro;RJ;Brasil;20081902;;;21;22066301;;;;ri@americanas.io
00.776.574/0001-56;2025-01-01;1;149003;AMERICANAS S.A. - em Recuperação Judicial;Endereço para Correspondência;Rua Sacadura Cabral, 102;Parte;Saúde;Rio de Janeiro;RJ;Brasil;20081902;;;21;22066301;;;;ri@americanas.io
00.864.214/0001-06;2025-01-01;1;148559;ENERGISA S.A.;Endereço da Sede;PRAÇA RUI BARBOSA;Nº 80 (PARTE);CENTRO;Cataguases;MG;Brasil;36770901;;;32;34296000;;;;ri@energisa.com.br
00.864.214/0001-06;2025-01-01;1;148559;ENERGISA S.A.;Endereço para Correspondência;PRAÇA RUI BARBOSA;Nº 80 (PARTE);CENTRO;Cataguases;MG;Brasil;36770901;;;32;34296000;;;;ri@energisa.com.br
00.873.894/0001-24;2025-01-01;1;149122;Lets Rent a Car S/A;Endereço da Sede;Via de Acesso Engenheiro Ivo Najm, 3800,;Bloco I;2° Dist. Industrial;Araraquara;SP;Brasil;14808159;;;16;21085600;;;;rilets@lets.com.br
00.873.894/0001-24;2025-01-01;1;149122;Lets Rent a Car S/A;Endereço para Correspondência;Via de Acesso Engenheiro Ivo Najm, 3800,;Bloco I;2° Dist. Industrial;Araraquara;SP;Brasil;14808159;;;16;21085600;;;;rilets@lets.com.br
00.897.864/0001-58;2025-01-01;1;148727;SANTA CATARINA PART INVEST SA;Endereço da Sede;Rodovia SC 401, km 5 , nº 4600,;Bloco 3, Atico;Saco Grande II;Florianópolis;SC;Brasil;88032000;;;48;36652794;;;;invesc@sefaz.sc.gov.br
00.897.864/0001-58;2025-01-01;1;148727;SANTA CATARINA PART INVEST SA;Endereço para Correspondência;Rodovia SC 401, km 5 , nº 4600,;Bloco 3, Atico;Saco Grande II;Florianópolis;SC;Brasil;88032000;;;48;36652794;;;;invesc@sefaz.sc.gov.br
00.924.429/0001-75;2025-01-01;2;148072;FERROVIA CENTRO-ATLANTICA S.A.;Endereço da Sede;Rua Sapucaí, 383.;Prédio, 7º andar.;Floresta;Belo Horizonte;MG;Brasil;30150904;;;31;993449403;;;;ri@vli-logistica.com.br
00.924.429/0001-75;2025-01-01;2;148072;FERROVIA CENTRO-ATLANTICA S.A.;Endereço para Correspondência;Avenida Doutora Ruth Cardoso, nº 8.501;nº 151, 15º andar.;Pinheiros;São Paulo;SP;Brasil;05425070;;;11;51122369;;;;ri@vli-logistica.com.br
00.938.574/0001-05;2025-01-01;1;148067;CONC RIO-TERESOPOLIS S.A.;Endereço da Sede;Rua do Passeio, nº 38;15° andar;Centro;Rio de Janeiro;RJ;Brasil;20021290;;;21;21846150;;;;ubiratan@crt.com.br
00.938.574/0001-05;2025-01-01;1;148067;CONC RIO-TERESOPOLIS S.A.;Endereço para Correspondência;Rua do Passeio, nº 38;15° andar;Centro;Rio de Janeiro;RJ;Brasil;20021290;;;21;21846150;;;;ubiratan@crt.com.br
00.974.211/0001-25;2025-01-01;1;144365;Linha Amarela S.A. - LAMSA;Endereço da Sede;Av. Governador Carlos Lacerda, s/n;s/n;Agua Santa;Rio de Janeiro;RJ;Brasil;20745150;;;21;22111300;;;;DRI@lamsa.com.br, governancacorporativa@invepar.com.br
00.974.211/0001-25;2025-01-01;1;144365;Linha Amarela S.A. - LAMSA;Endereço para Correspondência;Av. Governador Carlos Lacerda, s/n;s/n;Agua Santa;Rio de Janeiro;RJ;Brasil;20745150;;;21;22111300;;;;DRI@lamsa.com.br, governancacorporativa@invepar.com.br
00.979.969/0001-56;2025-01-01;1;146308;CAIXA ADM DIV PUB ESTADUAL SA;Endereço da Sede;Av. Mauá, 1155;Conj. 502 A;Centro;Porto Alegre;RS;Brasil;90030080;;;51;32145133;;;;carlosp@sefaz.rs.gov.br
00.979.969/0001-56;2025-01-01;1;146308;CAIXA ADM DIV PUB ESTADUAL SA;Endereço para Correspondência;Av. Mauá, 1155;Conj. 502 A;Centro;Porto Alegre;RS;Brasil;90030080;;;51;32145124;;;;luismg@sefaz.rs.gov.br
01.027.058/0001-91;2025-01-01;1;148800;CIELO S.A. -  Instituição de Pagamento;Endereço da Sede;Alameda Xingu;512;Alphaville;Barueri;SP;Brasil;06455030;;;11;21847600;;;;ri@cielo.com.br
01.027.058/0001-91;2025-01-01;1;148800;CIELO S.A. -  Instituição de Pagamento;Endereço para Correspondência;Alameda Xingu;512;Alphaville;Barueri;SP;Brasil;06455030;;;11;21847600;;;;ri@cielo.com.br
01.083.200/0001-18;2025-01-01;1;147386;NEOENERGIA S.A.;Endereço da Sede;Praia do Flamengo, 78;3º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;;21;32359828;;;;ri@neoenergia.com
01.083.200/0001-18;2025-01-01;1;147386;NEOENERGIA S.A.;Endereço para Correspondência;Praia do Flamengo, 78;3º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;;21;32359828;;;;ri@neoenergia.com
01.107.327/0001-20;2025-01-01;2;150564;BBM Logística S.A.;Endereço da Sede;Rua Tenente Djalma Dutra;N° 915, Sala 602;Centro;São José dos Pinhais;PR;Brasil;83005360;;;41;21690055;;;;ri@bbmlogistica.com.br
01.107.327/0001-20;2025-01-01;2;150564;BBM Logística S.A.;Endereço para Correspondência;Rua Tenente Djalma Dutra;N° 915, Sala 602;Centro;São José dos Pinhais;PR;Brasil;83005360;;;41;21690055;;;;ri@bbmlogistica.com.br
01.258.944/0001-26;2025-01-01;3;148482;Rumo Malha Sul S.A.;Endereço da Sede;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;;41;21417555;;;;ir@rumolog.com
01.258.944/0001-26;2025-01-01;3;148482;Rumo Malha Sul S.A.;Endereço para Correspondência;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;;41;21417555;;;;ir@rumolog.com
01.319.044/0001-41;2025-01-01;2;148304;WTC AMAZONAS SUITE HOTEL S.A.;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 10;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;;11;30824008;;;;intercorp@intercorpconsultores.com.br
01.319.044/0001-41;2025-01-01;2;148304;WTC AMAZONAS SUITE HOTEL S.A.;Endereço para Correspondência;RUA ESTADOS UNIDOS, Nº 1093;SALA 10;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;;11;30824008;;;;intercorp@intercorpconsultores.com.br
01.417.222/0001-77;2025-01-01;2;149838;MRS LOGISTICA S.A.;Endereço da Sede;Praia de Botafogo, 228;Sala 707;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;;21;25594601;;;;financeiro.ri@mrs.com.br
01.417.222/0001-77;2025-01-01;2;149838;MRS LOGISTICA S.A.;Endereço para Correspondência;Praia de Botafogo, 228;Sala 707;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;;21;25594601;;;;financeiro.ri@mrs.com.br
01.543.032/0001-04;2025-01-01;1;146767;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Endereço da Sede;Rua 2, Quadra A-37, nº 505;Ed. Gileno Godói;Jardim Goiás;Goiânia;GO;Brasil;74805180;;;61;34261010;;;;ri@equatorialenergia.com.br
01.543.032/0001-04;2025-01-01;1;146767;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Endereço para Correspondência;Rua 2, Quadra A-37, nº 505;Ed. Gileno Godói;Jardim Goiás;Goiânia;GO;Brasil;74805180;;;61;34261010;;;;ri@equatorialenergia.com.br
01.545.826/0001-07;2025-01-01;1;144125;GAFISA S.A.;Endereço da Sede;Av. Pres. Juscelino Kubitschek, 1830;13º andar - Bloco 1;Vila Nova Conceição;São Paulo;SP;Brasil;04543900;;;11;30259474;;;;ri@gafisa.com.br
01.545.826/0001-07;2025-01-01;1;144125;GAFISA S.A.;Endereço para Correspondência;Av. Pres. Juscelino Kubitschek, 1830;13º andar - Bloco 1;Vila Nova Conceição;São Paulo;SP;Brasil;04543900;;;11;30259474;;;;ri@gafisa.com.br
01.547.749/0001-16;2025-01-01;1;148119;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Endereço da Sede;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;;21;35960400;;;;eximia@eximiacapital.com
01.547.749/0001-16;2025-01-01;1;148119;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Endereço para Correspondência;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;;21;35960400;;;;eximia@eximiacapital.com
01.548.981/0001-79;2025-01-01;1;145296;INVESTIMENTOS BEMGE S.A.;Endereço da Sede;Praça Alfredo Egydio de Souza Aranha, 100, Torre Conceição;7º andar;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;;11;27943547;;;;relacionamento.reguladores@itau-unibanco.com.br
01.548.981/0001-79;2025-01-01;1;145296;INVESTIMENTOS BEMGE S.A.;Endereço para Correspondência;Praça Alfredo Egydio de Souza Aranha, 100, T. Conceição;12º andar;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;;11;27943547;;;;relacionamento.reguladores@itau-unibanco.com.br
01.599.101/0001-93;2025-01-01;2;149281;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Endereço da Sede;Alameda Rio Negro, 500;6º Andar, Sala 601;Alphaville;Barueri;SP;Brasil;06454000;;;11;43918800;;;;ri@sequoialog.com.br
01.599.101/0001-93;2025-01-01;2;149281;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Endereço para Correspondência;Alameda Rio Negro, 500;6º Andar, Sala 601;Alphaville;Barueri;SP;Brasil;06454000;;;11;43918800;;;;ri@sequoialog.com.br
01.616.929/0001-02;2025-01-01;1;147561;SANEAMENTO DE GOIAS SA;Endereço da Sede;Av. Fued José Sebba, nº 1245;Ed. Sede;Jardim Goiás;Goiânia;GO;Brasil;74805100;;;62;32433112;;;;ri@saneago.com.br
01.616.929/0001-02;2025-01-01;1;147561;SANEAMENTO DE GOIAS SA;Endereço para Correspondência;Av. Fued José Sebba, nº 1245;Ed. Sede;Jardim Goiás;Goiânia;GO;Brasil;74805100;;;62;32433112;;;;ri@saneago.com.br
01.637.895/0001-32;2025-01-01;1;145128;Votorantim Cimentos S.A.;Endereço da Sede;Rua Gomes de Carvalho 1996, 12º andar;conjunto 122;Vila Olímpia;São Paulo;SP;Brasil;04547905;;;11;45724000;;;;vc-ri@vcimentos.com rivc@vcimentos.com
01.637.895/0001-32;2025-01-01;1;145128;Votorantim Cimentos S.A.;Endereço para Correspondência;Rua Gomes de Carvalho 1996, 12º andar;conjunto 122;Vila Olímpia;São Paulo;SP;Brasil;04547905;;;11;45724000;;;;vc-ri@vcimentos.com rivc@vcimentos.com
01.838.723/0001-27;2025-01-01;2;148584;BRF S.A.;Endereço da Sede;Av. Jorge Tzachel, 475;--;Fazenda;Itajaí;SC;Brasil;88301600;;;11;23225377;;;;acoesRI@brf.com
01.838.723/0001-27;2025-01-01;2;148584;BRF S.A.;Endereço para Correspondência;Av. das Nações Unidas, N° 14401;22º andar;Chác. Santo Antonio;São Paulo;SP;Brasil;04730090;;;11;23225377;;;;acoesRI@brf.com
01.851.771/0001-55;2025-01-01;4;149958;524 PARTICIPACOES S.A.;Endereço da Sede;Av. Presidente Antônio Carlos, nº 51;10º andar (pte);Centro;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
01.851.771/0001-55;2025-01-01;4;149958;524 PARTICIPACOES S.A.;Endereço para Correspondência;Av. Presidente Antônio Carlos, nº 51;10º andar (pte);Centro;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
01.896.779/0001-38;2025-01-01;1;148925;CSU DIGITAL S.A.;Endereço da Sede;Rua Piauí;136;Nova Aldeinha;Barueri;SP;Brasil;06440182;;;11;26278500;;;;ri@csu.com.br
01.896.779/0001-38;2025-01-01;1;148925;CSU DIGITAL S.A.;Endereço para Correspondência;Avenida Brigadeiro Faria Lima;1.306;Pinheiros;São Paulo;SP;Brasil;01451914;;;11;30303700;;;;ri@csu.com.br
01.917.818/0001-36;2025-01-01;1;149913;LIGHT ENERGIA S.A.;Endereço da Sede;Av.Marechal Floriano;168;Centro;Rio de Janeiro;RJ;Brasil;20080002;;;21;22112828;;;;notificacao@light.com.br
01.917.818/0001-36;2025-01-01;1;149913;LIGHT ENERGIA S.A.;Endereço para Correspondência;Av.Marechal Floriano;168;Centro;Rio de Janeiro;RJ;Brasil;20080002;;;21;22112828;;;;notificacao@light.com.br
01.938.783/0001-11;2025-01-01;1;148434;CIA PARTICIPACOES ALIANCA DA BAHIA;Endereço da Sede;Av Professor Magalhães Neto, 1.752;11º andar;Pituba;Salvador;BA;Brasil;41810012;;;71;36161013;;;;aliancadiretoria@alba.com.br
01.938.783/0001-11;2025-01-01;1;148434;CIA PARTICIPACOES ALIANCA DA BAHIA;Endereço para Correspondência;Av Professor Magalhães Neto, 1.752;11º andar;Pituba;Salvador;BA;Brasil;41810012;;;71;36161013;;;;aliancadiretoria@alba.com.br
01.957.772/0001-89;2025-01-01;1;148473;SUL 116 PARTICIPACOES S.A.;Endereço da Sede;Avenida Rio Branco, nº 311;Sala 523 (parte);Centro;Rio de Janeiro;RJ;Brasil;20040903;;;21;21967200;;;;alberto.guth@angrapartners.com.br
01.957.772/0001-89;2025-01-01;1;148473;SUL 116 PARTICIPACOES S.A.;Endereço para Correspondência;Avenida Rio Branco, nº 311;Sala 523 (parte);Centro;Rio de Janeiro;RJ;Brasil;20040903;;;21;21967200;;;;alberto.guth@angrapartners.com.br
01.968.293/0001-68;2025-01-01;1;148462;Eletroriver S.A.;Endereço da Sede;Rua Miguel Calmon, 555;Sala 1012;Comércio;Salvador;BA;Brasil;40015010;;;31;35279100;;;;ri@eletroriver.com.br
01.968.293/0001-68;2025-01-01;1;148462;Eletroriver S.A.;Endereço para Correspondência;Rua Miguel Calmon, 555;Sala 1012;Comércio;Salvador;BA;Brasil;40015010;;;31;35279100;;;;ri@eletroriver.com.br
01.989.044/0001-59;2025-01-01;3;148307;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 9;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;;11;30824008;;;;intercorp@intercorpconsultores.com.br
01.989.044/0001-59;2025-01-01;3;148307;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Endereço para Correspondência;RUA ESTADOS UNIDOS, Nº 1093;SALA 9;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;;11;30824008;;;;intercorp@intercorpconsultores.com.br
02.016.440/0001-62;2025-01-01;3;150847;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Endereço da Sede;Avenida São Borja, nº 2.801;;Bairro Fazenda;São Leopoldo;RS;Brasil;93032525;;;19;37568458;;;;ri@cpfl.com.br
02.016.440/0001-62;2025-01-01;3;150847;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Endereço para Correspondência;Rua Jorge de Figueiredo Corrêa,1632;Parte;Jd. Prof° Tarcília;Campinas;SP;Brasil;13087397;;;19;37568458;;;;ri@cpfl.com.br
02.016.507/0001-69;2025-01-01;2;150904;Cia de Ger. e Trans. de Energia Elétrica do Sul do Brasil;Endereço da Sede;Rua Deputado Antonio Edu Vieira, 999;;Pantanal;Florianópolis;SC;Brasil;88040901;;;48;32317555;;;;eduardo.tomazzia@eletrobras.com
02.016.507/0001-69;2025-01-01;2;150904;Cia de Ger. e Trans. de Energia Elétrica do Sul do Brasil;Endereço para Correspondência;Rua Deputado Antonio Edu Vieira, 999;;Pantanal;Florianópolis;SC;Brasil;88040901;;;48;32317555;;;;eduardo.tomazzia@eletrobras.com
02.041.460/0001-93;2025-01-01;1;145327;V. Tal - Rede Neutra de Telecomunicações S.A.;Endereço da Sede;Rua Casa do Ator, 919;N/A;Vila Olímpia;São Paulo;SP;Brasil;04546003;;;11;949810233;;;;ri@vtal.com
02.041.460/0001-93;2025-01-01;1;145327;V. Tal - Rede Neutra de Telecomunicações S.A.;Endereço para Correspondência;Rua Casa do Ator, 919;N/A;Vila Olímpia;São Paulo;SP;Brasil;04546003;;;11;949810233;;;;ri@vtal.com
02.062.747/0001-08;2025-01-01;4;149962;SUDESTE S.A.;Endereço da Sede;Av. PRESIDENTE ANTONIO CARLOS Nº 51;51º andar (parte);Centro;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
02.062.747/0001-08;2025-01-01;4;149962;SUDESTE S.A.;Endereço para Correspondência;Av. PRESIDENTE ANTONIO CARLOS Nº 51;51º andar (parte);Centro;Rio de Janeiro;RJ;Brasil;20020010;;;21;38043700;;;;gar@opportunity.com.br
02.117.801/0001-67;2025-01-01;1;148069;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço da Sede;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;;21;35960400;;;;eximia@eximiacapital.com
02.117.801/0001-67;2025-01-01;1;148069;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Endereço para Correspondência;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;;21;35960400;;;;eximia@eximiacapital.com
02.149.205/0001-69;2025-01-01;1;148651;PORTO SEGURO S.A.;Endereço da Sede;Alameda Barão de Piracicaba, 740 - Torre B;11º andar;Campos Elíseos;São Paulo;SP;Brasil;01216012;;;11;23937093;;;;gri@portoseguro.com.br
02.149.205/0001-69;2025-01-01;1;148651;PORTO SEGURO S.A.;Endereço para Correspondência;Alameda Barão de Piracicaba, 740 - Torre B;11º andar;Campos Elíseos;São Paulo;SP;Brasil;01216012;;;11;23937093;;;;gri@portoseguro.com.br
02.193.750/0001-52;2025-01-01;2;148430;DEXXOS PARTICIPAÇÕES S.A.;Endereço da Sede;Rua do Passeio, 62;Sala 701;Centro;Rio de Janeiro;RJ;Brasil;20021290;;;21;22124757;;;;dri@dexxos.com.br
